净值日期,单位净值,日增长率
2014-11-13,1.0,0.0
2014-11-14,1.0,0.0
2014-11-20,1.001,0.0
2014-11-26,1.001,0.0
2014-11-27,1.001,0.0
2014-11-28,1.001,0.0
2014-12-01,1.002,0.0999
2014-12-02,1.002,0.0
2014-12-03,1.002,0.0
2014-12-04,1.002,0.0
2014-12-05,1.002,0.0
2014-12-08,1.002,0.0
2014-12-09,1.001,-0.0998
2014-12-10,0.999,-0.1998
2014-12-11,1.0,0.1001
2014-12-12,0.999,-0.1
2014-12-15,0.997,-0.2002
2014-12-16,0.995,-0.2006
2014-12-17,0.999,0.402
2014-12-18,1.003,0.4004
2014-12-19,1.005,0.1994
2014-12-22,1.006,0.0995
2014-12-23,1.005,-0.0994
2014-12-24,1.004,-0.0995
2014-12-26,1.007,0.0
2014-12-29,1.007,0.0
2014-12-30,1.001,-0.5958
2014-12-31,0.994,-0.6993
2015-01-05,0.982,-1.2072
2015-01-06,0.974,-0.8147
2015-01-07,0.98,0.616
2015-01-08,0.995,1.5306
2015-01-09,0.99,-0.5025
2015-01-12,0.981,-0.9091
2015-01-13,0.979,-0.2039
2015-01-14,0.976,-0.3064
2015-01-15,0.964,-1.2295
2015-01-16,0.975,1.1411
2015-01-20,0.981,0.0
2015-01-21,0.986,0.5097
2015-01-22,1.001,1.5213
2015-01-23,1.004,0.2997
2015-01-26,1.004,0.0
2015-01-27,0.982,-2.1912
2015-01-28,0.975,-0.7128
2015-01-29,0.984,0.9231
2015-01-30,0.978,-0.6098
2015-02-02,0.986,0.818
2015-02-03,0.995,0.9128
2015-02-04,0.992,-0.3015
2015-02-05,1.001,0.9073
2015-02-06,0.993,-0.7992
2015-02-09,0.991,-0.2014
2015-02-10,1.005,1.4127
2015-02-11,1.008,0.2985
2015-02-12,1.019,1.0913
2015-02-13,1.026,0.6869
2015-02-17,1.027,0.0
2015-02-25,1.041,1.3632
2015-02-26,1.046,0.4803
2015-02-27,1.042,-0.3824
2015-03-02,1.053,1.0557
2015-03-03,1.048,-0.4748
2015-03-04,1.044,-0.3817
2015-03-05,1.047,0.2874
2015-03-06,1.035,-1.1461
2015-03-09,1.04,0.4831
2015-03-10,1.024,-1.5385
2015-03-11,1.019,-0.4883
2015-03-12,1.027,0.7851
2015-03-13,1.023,-0.3895
2015-03-16,1.036,1.2708
2015-03-17,1.037,0.0965
2015-03-18,1.046,0.8679
2015-03-19,1.046,0.0
2015-03-20,1.054,0.7648
2015-03-23,1.05,-0.3795
2015-03-24,1.047,-0.2857
2015-03-25,1.021,-2.4833
2015-03-26,1.016,-0.4897
2015-03-27,1.022,0.5906
2015-03-30,1.033,1.0763
2015-03-31,1.023,-0.9681
2015-04-01,1.021,-0.1955
2015-04-02,1.021,0.0
2015-04-07,1.026,0.0
2015-04-08,1.033,0.6823
2015-04-09,1.04,0.6776
2015-04-10,1.045,0.4808
2015-04-13,1.043,-0.1914
2015-04-14,1.04,-0.2876
2015-04-15,1.046,0.5769
2015-04-16,1.044,-0.1912
2015-04-17,1.029,-1.4368
2015-04-20,1.045,1.5549
2015-04-21,1.05,0.4785
2015-04-22,1.055,0.4762
2015-04-23,1.06,0.4739
2015-04-24,1.074,1.3208
2015-04-27,1.072,-0.1862
2015-04-28,1.07,-0.1866
2015-04-29,1.062,-0.7477
2015-04-30,1.045,-1.6008
2015-05-04,1.064,1.8182
2015-05-05,1.047,-1.5977
2015-05-06,1.04,-0.6686
2015-05-07,1.046,0.5769
2015-05-08,1.059,1.2428
2015-05-11,1.054,-0.4721
2015-05-12,1.053,-0.0949
2015-05-13,1.054,0.095
2015-05-14,1.069,1.4231
2015-05-15,1.069,0.0
2015-05-18,1.073,0.3742
2015-05-19,1.072,-0.0932
2015-05-20,1.075,0.2799
2015-05-21,1.081,0.5581
2015-05-22,1.081,0.0
2015-05-26,1.069,0.0
2015-05-27,1.087,1.6838
2015-05-28,1.084,-0.276
2015-05-29,1.078,-0.5535
2015-06-01,1.084,0.5566
2015-06-02,1.081,-0.2768
2015-06-03,1.084,0.2775
2015-06-04,1.076,-0.738
2015-06-05,1.074,-0.1859
2015-06-08,1.064,-0.9311
2015-06-09,1.062,-0.188
2015-06-10,1.075,1.2241
2015-06-11,1.075,0.0
2015-06-12,1.067,-0.7442
2015-06-15,1.063,-0.3749
2015-06-16,1.068,0.4704
2015-06-17,1.071,0.2809
2015-06-18,1.085,1.3072
2015-06-19,1.08,-0.4608
2015-06-23,1.089,0.8333
2015-06-24,1.084,-0.4591
2015-06-25,1.081,-0.2768
2015-06-26,1.074,-0.6475
2015-06-29,1.05,-2.2346
